frequency_hz,parallel_per_bank,total_devices,phase_voltage_rms_v,line_voltage_rms_v,phase_current_rms_a,peak_device_a,conduction_w,overlap_w,coss_w,deadtime_w,gate_drive_w,fet_loss_w,total_modeled_loss_w,efficiency_estimate_pct,hottest_device_w,junction_estimate_c,required_max_sink_k_per_w,loss_budget_w,remaining_other_loss_budget_w,minimum_pulse_margin_ns,passes_screen,failed_constraints
10000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,2.07593404032907,0.192,0.44286592860353496,0.010199999999999999,210.6503084755489,210.6605084755489,98.88896007403653,42.13006169510978,110.55607403413174,0.1685682640125107,94.22110552763652,-116.43940294791238,173.53928239478236,False,user_peak_current_limit;efficiency_target
11000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,2.2835274443619773,0.2112,0.4871525214638885,0.011219999999999999,210.92138847244215,210.93260847244215,98.88754096210337,42.18427769448843,110.62113323338612,0.16817168647878755,94.22110552763652,-116.71150294480563,155.03571126798397,False,user_peak_current_limit;efficiency_target
12000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,2.491120848394884,0.2304,0.531439114324242,0.01224,211.1924684693354,211.2047084693354,98.88612189089969,42.23849369386708,110.6861924326405,0.16777612701391306,94.22110552763652,-116.98360294169888,139.61606866231864,False,user_peak_current_limit;efficiency_target
13000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,2.6987142524277914,0.2496,0.5757257071845955,0.01326,211.46354846622867,211.47680846622868,98.8847028604238,42.29270969324573,110.75125163189489,0.1673815817026294,94.22110552763652,-117.25570293859215,126.56867876521719,False,user_peak_current_limit;efficiency_target
14000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,2.906307656460698,0.2688,0.620012300044949,0.01428,211.73462846312196,211.74890846312198,98.8832838706739,42.346925692624396,110.81631083114927,0.16698804664972935,94.22110552763652,-117.52780293548545,115.38520171055883,False,user_peak_current_limit;efficiency_target
15000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,3.113901060493605,0.288,0.6642988929053024,0.0153,212.00570846001523,212.02100846001522,98.88186492164827,42.401141692003044,110.88137003040366,0.16659551797992814,94.22110552763652,-117.7999029323787,105.6928549298549,False,user_peak_current_limit;efficiency_target
16000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,3.3214944645265123,0.3072,0.7085854857656559,0.01632,212.2767884569085,212.2931084569085,98.88044601334514,42.45535769138169,110.94642922965804,0.16620399183773593,94.22110552763652,-118.07200292927197,97.21205149673898,False,user_peak_current_limit;efficiency_target
17000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,3.529087868559419,0.32639999999999997,0.7528720786260095,0.01734,212.54786845380175,212.56520845380174,98.87902714576276,42.509573690760355,111.01148842891243,0.16581346438733185,94.22110552763652,-118.34410292616522,89.72898964398965,False,user_peak_current_limit;efficiency_target
18000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,3.7366812725923264,0.34559999999999996,0.797158671486363,0.018359999999999998,212.818948450695,212.837308450695,98.87760831889938,42.563789690139,111.0765476281668,0.16542393181243886,94.22110552763652,-118.61620292305847,83.07737910821244,False,user_peak_current_limit;efficiency_target
19000.0,1,6,30.49397993866986,52.81712257876227,204.95848730044858,289.8550724637682,207.9395085066163,3.9442746766252332,0.36479999999999996,0.8414452643467164,0.019379999999999998,213.09002844758825,213.10940844758827,98.87618953275324,42.61800568951765,111.14160682742119,0.16503539031619885,94.22110552763652,-118.88830291995174,77.12593810251703,False,user_peak_current_limit;efficiency_target
