frequency_hz,parallel_per_bank,total_devices,phase_voltage_rms_v,line_voltage_rms_v,phase_current_rms_a,peak_device_a,conduction_w,overlap_w,coss_w,deadtime_w,gate_drive_w,fet_loss_w,total_modeled_loss_w,efficiency_estimate_pct,hottest_device_w,junction_estimate_c,required_max_sink_k_per_w,loss_budget_w,remaining_other_loss_budget_w,minimum_pulse_margin_ns,passes_screen,failed_constraints
10000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,2.07593404032907,0.9600000000000001,0.44286592860353496,0.051000000000000004,45.066701670255874,45.117701670255876,99.75994988493078,1.8026680668102348,65.76853781379275,1.414306572058282,94.22110552763652,49.10340385738065,173.53928239478236,True,
11000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,2.2835274443619773,1.056,0.4871525214638885,0.056100000000000004,45.41458166714913,45.47068166714913,99.75807638745913,1.816583266685965,65.8130664533951,1.4032583671120344,94.22110552763652,48.750423860487395,155.03571126798397,True,
12000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,2.491120848394884,1.1520000000000001,0.531439114324242,0.061200000000000004,45.76246166404239,45.82366166404239,99.75620296035494,1.8304984665616955,65.85759509299743,1.3923781360624095,94.22110552763652,48.397443863594134,139.61606866231864,True,
13000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,2.6987142524277914,1.248,0.5757257071845955,0.0663,46.110341660935646,46.176641660935644,99.75432960361424,1.8444136664374258,65.90212373259976,1.381662077066489,94.22110552763652,48.04446386670088,126.56867876521719,True,
14000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,2.906307656460698,1.344,0.620012300044949,0.0714,46.45822165782891,46.529621657828905,99.75245631723307,1.8583288663131563,65.9466523722021,1.371106502154426,94.22110552763652,47.69148386980762,115.38520171055883,True,
15000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,3.113901060493605,1.44,0.6642988929053024,0.0765,46.80610165472216,46.882601654722166,99.75058310120747,1.8722440661888864,65.99118101180444,1.3607078329977156,94.22110552763652,47.33850387291436,105.6928549298549,True,
16000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,3.3214944645265123,1.536,0.7085854857656559,0.0816,47.153981651615425,47.235581651615426,99.74870995553346,1.886159266064617,66.03570965140678,1.3504625968647803,94.22110552763652,46.9855238760211,97.21205149673898,True,
17000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,3.529087868559419,1.6320000000000001,0.7528720786260095,0.0867,47.501861648508694,47.588561648508694,99.74683688020706,1.9000744659403477,66.08023829100912,1.3403674227542755,94.22110552763652,46.63254387912783,89.72898964398965,True,
18000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,3.7366812725923264,1.728,0.797158671486363,0.0918,47.849741645401956,47.941541645401955,99.74496387522436,1.9139896658160782,66.12476693061146,1.3304190376970628,94.22110552763652,46.27956388223457,83.07737910821244,True,
19000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,3.9442746766252332,1.824,0.8414452643467164,0.0969,48.19762164229521,48.29452164229521,99.74309094058137,1.9279048656918083,66.16929557021378,1.3206142632183342,94.22110552763652,45.926583885341316,77.12593810251703,True,
20000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,4.15186808065814,1.9200000000000002,0.8857318572070699,0.10200000000000001,48.54550163918847,48.64750163918847,99.74121807627412,1.9418200655675388,66.21382420981612,1.3109500119518507,94.22110552763652,45.573603888448055,71.76964119739118,True,
21000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,4.359461484691047,2.016,0.9300184500674235,0.1071,48.89338163608173,49.00048163608173,99.73934528229866,1.955735265443269,66.25835284941846,1.3014232843987235,94.22110552763652,45.220623891554794,66.92346780703922,True,
