Cells,Levels,DeviceVendor,Vcell_V,Required_Device_V,Device_V,Parallel,RDSon_mOhm,Coss_pF,D_FOM_norm,Pcond_W,Psw_W,Psemi_W,Efficiency_pct,Total_Switches,Gate_Drivers,Practical_Score_W
8,9,GS-065-060-5-T-A | Infineon / GaN Systems,150,225,650,7,32,127,0.466653777474796,5617.37142857143,48.006,5665.37742857143,84.1151900329172,336,48,5677.37742857143
8,9,GS-065-060-5-T-A | Infineon / GaN Systems,150,225,650,8,32,127,0.466653777474796,4915.2,54.864,4970.064,85.7876611263851,384,48,4982.064
8,9,LMG3522R030-Q1 | Texas Instruments,150,225,650,6,35,235,0.328022536107702,7168,76.14,7244.14,80.5495844446938,288,48,7256.14
8,9,LMG3522R030-Q1 | Texas Instruments,150,225,650,7,35,235,0.328022536107702,6144,88.83,6232.83,82.7978383140373,336,48,6244.83
8,9,LMG3522R030-Q1 | Texas Instruments,150,225,650,8,35,235,0.328022536107702,5376,101.52,5477.52,84.5605893534836,384,48,5489.52
9,10,EPC2304 | EPC,133.333333333333,200,200,3,5,704,0.501418442566141,2304,101.376,2405.376,92.5772316297148,162,54,2418.876
9,10,EPC2304 | EPC,133.333333333333,200,200,4,5,704,0.501418442566141,1728,135.168,1863.168,94.1525965026453,216,54,1876.668
9,10,EPC2304 | EPC,133.333333333333,200,200,5,5,704,0.501418442566141,1382.4,168.96,1551.36,95.0830645652042,270,54,1564.86
9,10,EPC2304 | EPC,133.333333333333,200,200,6,5,704,0.501418442566141,1152,202.752,1354.752,95.6792769402226,324,54,1368.252
9,10,EPC2304 | EPC,133.333333333333,200,200,7,5,704,0.501418442566141,987.428571428571,236.544,1223.97257142857,96.0800229098697,378,54,1237.47257142857
9,10,EPC2304 | EPC,133.333333333333,200,200,8,5,704,0.501418442566141,864,270.336,1134.336,96.3566398204221,432,54,1147.836
9,10,EPC2034C | EPC,133.333333333333,200,200,7,8,641,0.415429781402503,1579.88571428571,215.376,1795.26171428571,94.3536815943896,378,54,1808.76171428571
