Levels,Cells,Vcell_V,Required_Device_V,Device,Vendor,Device_V,Parallel,RDSon_mOhm,Coss_pF,D_FOM_norm,E_coss_uJ,E_overlap_uJ,E_total_sw_uJ,Pcond_W,P_coss_W,P_overlap_W,Psw_W,Ptotal_W,Efficiency_pct,Total_Devices
4,3,400,480,GS-065-060-5-T-A,Infineon / GaN Systems,650,10,32,127,0.466653777474796,203.2,374.908143993817,578.108143993817,2438.65264441396,182.88,337.417329594435,520.297329594435,2958.9499740084,99.0233165337211,180
6,5,240,288,GS-065-060-5-T-A,Infineon / GaN Systems,650,10,32,127,0.466653777474796,73.152,208.177945889489,281.329945889489,4064.42107402327,109.728,312.266918834234,421.994918834234,4486.4159928575,98.5265628424741,300
9,8,150,180,EPC2307,EPC,200,10,10,343,0.507954223047087,77.175,124.216588659009,201.391588659009,2032.21053701164,185.22,298.119812781621,483.339812781621,2515.55034979326,99.1684558539604,480
10,9,133.333333333333,160,EPC2307,EPC,200,10,10,343,0.507954223047087,60.9777777777778,109.444436417568,170.422214195346,2286.23685413809,164.64,295.499978327434,460.139978327434,2746.37683246552,99.0928456811936,540
11,10,120,144,EPC2308,EPC,150,10,6,401,0.606490250490599,57.744,97.8013702546946,155.545370254695,1524.15790275873,173.232,293.404110764084,466.636110764084,1990.79401352281,99.3407765888937,600
13,12,100,120,IGC037S12S1,Infineon,120,10,3.7,500,0.691649028321719,50,80.6278637275163,130.627863727516,1127.87684804146,180,290.260309419059,470.260309419059,1598.13715746052,99.4701104017011,720
16,15,80,96,EPC2367,EPC,100,10,1.5,590,1,37.76,63.8036684608963,101.563668460896,571.559213534522,169.92,287.116508074034,457.036508074033,1028.59572160856,99.6583063083615,900
