Setup1:LastAdaptive
Problem Type:  AC RL
R Units:ohm, L Units:nH
Reduce Matrix:  Original
Frequency:  60kHz

AC Inductance Matrix
,BASBARNEG:Cap1Neg,BASBARNEG:Cap2Neg,BASBARNEG:Cap3Neg,BASBARNEG:Cap4Neg,BASBARPOS:Cap1Pos,BASBARPOS:Cap2Pos,BASBARPOS:Cap3Pos,BASBARPOS:Cap4Pos,
BASBARPOS:Cap4Pos,1.495389668962945E-04,1.824640621373912E-04,2.473135948227427E-04,3.342813858715674E-04,4.873488874634705E-04,3.709965164729888E-04,4.430547375124990E-04,7.936921652096045E-04

AC Resistance Matrix Coupling Coefficient
,BASBARNEG:Cap1Neg,BASBARNEG:Cap2Neg,BASBARNEG:Cap3Neg,BASBARNEG:Cap4Neg,BASBARPOS:Cap1Pos,BASBARPOS:Cap2Pos,BASBARPOS:Cap3Pos,BASBARPOS:Cap4Pos,
BASBARNEG:Cap1Neg,1.000000000000000E+00,6.141213878046344E-01,5.257603817184747E-01,7.095750464511746E-01,4.574840995362049E-01,3.781049168327552E-01,3.526112312119208E-01,4.032160690027859E-01
BASBARNEG:Cap2Neg,6.141213878046344E-01,1.000000000000000E+00,8.407451253317536E-01,4.650075033894012E-01,3.208910895562977E-01,4.980117695296929E-01,5.172447294566290E-01,2.852217144600840E-01
BASBARNEG:Cap3Neg,5.257603817184747E-01,8.407451253317536E-01,1.000000000000000E+00,4.394009255775230E-01,3.070424481503140E-01,4.310648385746751E-01,5.593717986787706E-01,3.053450482609980E-01
BASBARNEG:Cap4Neg,7.095750464511746E-01,4.650075033894012E-01,4.394009255775230E-01,1.000000000000000E+00,4.890584420687722E-01,3.063355193699455E-01,3.264523517005365E-01,5.593565384120723E-01
BASBARPOS:Cap1Pos,4.574840995362049E-01,3.208910895562977E-01,3.070424481503140E-01,4.890584420687722E-01,1.000000000000000E+00,6.792688984159096E-01,6.104891093106740E-01,8.241228756408479E-01
BASBARPOS:Cap2Pos,3.781049168327552E-01,4.980117695296929E-01,4.310648385746751E-01,3.063355193699455E-01,6.792688984159096E-01,1.000000000000000E+00,8.403927994461144E-01,5.458728360861931E-01
BASBARPOS:Cap3Pos,3.526112312119208E-01,5.172447294566290E-01,5.593717986787706E-01,3.264523517005365E-01,6.104891093106740E-01,8.403927994461144E-01,1.000000000000000E+00,5.247350421314515E-01
BASBARPOS:Cap4Pos,4.032160690027859E-01,2.852217144600840E-01,3.053450482609980E-01,5.593565384120723E-01,8.241228756408479E-01,5.458728360861931E-01,5.247350421314515E-01,1.000000000000000E+00

