Setup1:LastAdaptive
Problem Type:  AC RL
R Units:ohm, L Units:nH
Reduce Matrix:  Original
Frequency:  60kHz

AC Inductance Matrix
,BASBARNEG:Cap1Neg,BASBARNEG:Cap2Neg,BASBARNEG:Cap3Neg,BASBARNEG:Cap4Neg,BASBARPOS:Cap1Pos,BASBARPOS:Cap2Pos,BASBARPOS:Cap3Pos,BASBARPOS:Cap4Pos,
BASBARNEG:Cap1Neg,1.864206296237652E+01,1.835720101331170E+01,1.962166400903917E+01,2.112394993952760E+01,2.075156178562575E+01,1.865128511815821E+01,2.030660219337473E+01,2.256149833307642E+01
BASBARNEG:Cap2Neg,1.835720101331170E+01,4.578972613812702E+01,4.822159103501998E+01,2.248626621934456E+01,2.140615866539113E+01,4.154910826931788E+01,4.844418184429851E+01,2.407973551910299E+01
BASBARNEG:Cap3Neg,1.962166400903917E+01,4.822159103501998E+01,6.967311183024444E+01,2.620819271749862E+01,2.361725414466433E+01,4.295297070260999E+01,6.396652715410646E+01,2.888421569722161E+01
BASBARNEG:Cap4Neg,2.112394993952760E+01,2.248626621934456E+01,2.620819271749862E+01,4.232405405088750E+01,2.951174982303602E+01,2.229912979966105E+01,2.659918587913217E+01,4.534098686387271E+01
BASBARPOS:Cap1Pos,2.075156178562575E+01,2.140615866539113E+01,2.361725414466433E+01,2.951174982303602E+01,3.224292955852373E+01,2.552070774249666E+01,2.836095719386518E+01,3.561763332014669E+01
BASBARPOS:Cap2Pos,1.865128511815821E+01,4.154910826931788E+01,4.295297070260999E+01,2.229912979966105E+01,2.552070774249666E+01,4.638566236014017E+01,4.765057332670502E+01,2.780358425852411E+01
BASBARPOS:Cap3Pos,2.030660219337473E+01,4.844418184429851E+01,6.396652715410646E+01,2.659918587913217E+01,2.836095719386518E+01,4.765057332670502E+01,6.777053984170297E+01,3.310647869956141E+01
BASBARPOS:Cap4Pos,2.256149833307642E+01,2.407973551910299E+01,2.888421569722161E+01,4.534098686387271E+01,3.561763332014669E+01,2.780358425852411E+01,3.310647869956141E+01,5.792283685678055E+01

AC Inductance Matrix Coupling Coefficient
