parallel_per_position,total_devices,phase_rms_a,phase_peak_a,ideal_device_peak_a,ideal_device_rms_a,conduction_only_module_w,compact_assumption_effective_nh,central_assumption_effective_nh,extended_assumption_effective_nh
4,24,204.95848730044855,289.8550724637681,72.46376811594203,36.23188405797101,51.98487712665406,0.56,1.2000000000000002,2.925
5,30,204.95848730044855,289.8550724637681,57.971014492753625,28.98550724637681,41.58790170132325,0.524,1.1400000000000001,2.8200000000000003
6,36,204.95848730044855,289.8550724637681,48.309178743961354,24.154589371980673,34.656584751102706,0.5,1.1,2.75
