Designator | Quantity | Value | MFG | MFGPN | SchDescript | Footprint | Comment | 
F1_R43, F2_R43, F3_R43, R91, R701 | 5 | 100kE | Panasonic | ERA-6AEB104V | 100kE 0.25W | RC0805 | ERA-6AEB104V | 
F1_R44, F2_R44, F3_R44, R700 | 4 | 3.01kE | Yageo | RT0603FRE073K01L | 3.01kE 0.125W | RC0805 | RT0603FRE073K01L | 
F1_RSp1, F1_RSp2, F2_RSp1, F2_RSp2, F3_RSp1, F3_RSp2 | 6 | 200uE | Yageo | Y14830R00020F9R | 200uE  6W | RC2512 | Y14830R00020F9R | 
F1_RSp3, F2_RSp3, F3_RSp3 | 3 | 100uE | Vishay | WSLP3921L1000FEA | 100uOHM 1% 9W | RC3920 | EMPTY | 
G1_C6, G1_C75, G2_C6, G2_C75, G3_C6, G3_C75 | 6 | 100pF | AVX | 08055A101JAT2A | 100pF 50V | CC0805 | 08055A101JAT2A | 
G1_C16, G2_C16, G3_C16 | 3 | 360pF | KEMET | C0805C361J5GACTU | 360pF 50V | CC0805 | C0805C361J5GACTU | 
G1_C25, G1_C26, G1_C81, G2_C25, G2_C26, G2_C81, G3_C25, G3_C26, G3_C81 | 9 | 10uF | Samsung | CL21A106KPCLQNC | 10uF 10V | CC0805 | CL21A106KPCLQNC | 
G1_D60, G2_D60, G3_D60 | 3 |  | On Semi | MM5Z5V6ST1G | 5.6V 500mW | SOD-523 | Diode Zener | 
G1_D61, G2_D61, G3_D61 | 3 |  | Nexperia | BAT46WJ115 | 100V 250mA | SOD-323 | BAT46WJ115 | Different footprint than in PCB R1.0
G1_R8, G1_R61, G1_R75, G2_R8, G2_R61, G2_R75, G3_R8, G3_R61, G3_R75 | 9 | 2.2E | ROHM | ESR10EZPJ2R2 | 2.2E 0.4W | RC0805 | ESR10EZPJ2R2 | 
G1_R26, G1_R29, G1_R76, G2_R26, G2_R29, G2_R76, G3_R26, G3_R29, G3_R76, R66 | 10 | 10kE | Stackpole | RNCP0805FTD10K0 | 10kE 0.25W | RC0805 | RNCP0805FTD10K0 | 
G1_R77, G2_R77, G3_R77 | 3 | 10E | Stackpole | RNCF0805AKT10R0 | 10E 0.125W | RC0805 | RNCF0805AKT10R0 | 
G1_U80, G2_U80, G3_U80 | 3 |  | ST Microelectronics | STDRIVEG600 | 600V Half Bridge Gate Driver | SO-16 | STDRIVEG600 | 
HS1 | 1 | LPD4980-30BM-E48 | AlphaNovaTec | S08FTS02 |  |  | Heatsink | 
J1, J2, J3, J4, J5, J6, J7 | 7 | Press fit screw Term., Press fti screw Term. | Wurth Elektronik | 7461147 |  | 7461147_REDCUBE | 7461147 | 
J8 | 1 |  | Tyco | 4-103185-0-02 |  | SIP2.1 | EMPTY | 
J60 | 1 | 1mm x 62milPCB | Samtec | MEC1-120-02-F-D-EM2 |  | MEC1-120-02-F-D-EM2_Main | 14x2 POSITION 0.05" | 
